,ID,Name,Rating,Rating_score,Rating_bin,Cluster,Predict_bin
12998,1,The Call of the Wild,it was amazing,5,1,3,1.0
12952,1,Next,liked it,3,0,3,1.0
15085,1,"The Two Towers (The Lord of the Rings, #2)",it was amazing,5,1,3,1.0
5555,1,Street Boys,really liked it,4,1,3,1.0
21748,1,Sense and Sensibility,liked it,3,0,3,1.0
6452,1,The Scarlet Letter,liked it,3,0,3,1.0
12586,1,Congo,it was ok,2,0,3,1.0
24398,1,Cloud Atlas,really liked it,4,1,3,1.0
8754,1,Jack: Straight from the Gut,liked it,3,0,3,1.0
12915,1,Corduroy,it was amazing,5,1,3,1.0
5526,1,"The Rise of Endymion (Hyperion Cantos, #4)",it was amazing,5,1,3,1.0
899,1,A Short History of Nearly Everything,it was amazing,5,1,3,1.0
20497,1,"The Sum of All Fears (Jack Ryan, #6)",really liked it,4,1,3,1.0
19870,1,S.,really liked it,4,1,3,1.0
19915,1,The Diary of a Young Girl,really liked it,4,1,3,1.0
27169,1,The Snowball: Warren Buffett and the Business of Life,it was amazing,5,1,3,1.0
9998,1,Stardust,it was amazing,5,1,3,1.0
2498,1,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,really liked it,4,1,3,1.0
19173,1,"The Three Musketeers (The D'Artagnan Romances, #1)",it was amazing,5,1,3,1.0
21451,1,Suite Française,really liked it,4,1,3,1.0
10238,1,The Great Train Robbery,it was ok,2,0,3,1.0
8887,1,Starship Troopers,really liked it,4,1,3,0.0
26462,1,"Ender's Game (Ender's Saga, #1)",it was amazing,5,1,3,1.0
25619,1,The Secret Garden,it was amazing,5,1,3,1.0
9163,1,"The Pillars of the Earth (Kingsbridge, #1)",it was amazing,5,1,3,1.0
897,1,"Dark Apprentice (Star Wars: The Jedi Academy Trilogy, #2)",liked it,3,0,3,1.0
19047,1,Caught Inside: A Surfer's Year on the California Coast,liked it,3,0,3,1.0
16428,1,"The Lost Symbol (Robert Langdon, #3)",liked it,3,0,3,1.0
24552,1,A Thousand Splendid Suns,it was amazing,5,1,3,1.0
5250,1,"A Dance with Dragons (A Song of Ice and Fire, #5)",it was amazing,5,1,3,1.0
12894,1,West with the Night,it was amazing,5,1,3,1.0
26354,1,The Da Vinci Code,really liked it,4,1,3,1.0
10092,1,"Goldfinger (James Bond, #7)",really liked it,4,1,0,1.0
2856,1,The BFG,really liked it,4,1,0,1.0
12651,1,"Hatchet (Brian's Saga, #1)",it was amazing,5,1,0,1.0
17995,1,The Underground Railroad,really liked it,4,1,0,1.0
8971,1,Post Captain (Aubrey & Maturin #2),it was amazing,5,1,0,0.0
19737,1,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",it was amazing,5,1,0,1.0
2834,1,"Kiss the Girls (Alex Cross, #2)",liked it,3,0,0,1.0
13531,1,"The Bear and the Dragon (John Clark, #3)",liked it,3,0,0,0.0
9565,1,"Assault at Selonia (Star Wars: The Corellian Trilogy, #2)",liked it,3,0,0,0.0
24872,1,The Merchant of Venice,liked it,3,0,0,1.0
17987,1,Year Zero,really liked it,4,1,0,1.0
8120,1,Where the Wild Things Are,it was amazing,5,1,0,1.0
27173,1,The Firm,really liked it,4,1,0,1.0
17326,1,The Days Are Just Packed,it was amazing,5,1,0,1.0
19896,1,Death in the Afternoon,really liked it,4,1,0,1.0
13730,1,Cyrus the Unsinkable Sea Serpent,it was amazing,5,1,0,1.0
15597,1,1776,it was amazing,5,1,1,1.0
9324,1,James and the Giant Peach,really liked it,4,1,1,1.0
9897,1,"The Big Sleep (Philip Marlowe, #1)",it was amazing,5,1,1,1.0
15640,1,On the Road,really liked it,4,1,1,1.0
5550,1,The Anubis Gates,really liked it,4,1,1,1.0
23366,1,"Master of the Senate (The Years of Lyndon Johnson, #3)",it was amazing,5,1,1,1.0
12938,1,Gates of Fire,it was amazing,5,1,1,1.0
19221,1,Lord of the Flies,it was amazing,5,1,1,1.0
13929,1,Madeline and the Bad Hat,really liked it,4,1,1,1.0
25406,1,The Secret Agent: A Simple Tale,liked it,3,0,1,1.0
25463,1,The Count of Monte Cristo,it was amazing,5,1,1,1.0
48,1,Siddhartha,it was amazing,5,1,1,1.0
8877,1,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",it was amazing,5,1,1,1.0
14329,1,1984,it was amazing,5,1,1,1.0
27312,1,"Harry Potter Series Box Set (Harry Potter, #1-7)",it was amazing,5,1,1,1.0
34971,73,East of Eden,really liked it,4,1,3,0.0
66624,73,The Corrections,it was amazing,5,1,3,1.0
71188,73,Raney,really liked it,4,1,3,0.0
69616,73,You Can Farm: The Entrepreneur's Guide to Start and Succeed in a Farm Enterprise,really liked it,4,1,3,0.0
71241,73,"The Forever War (The Forever War, #1)",it was amazing,5,1,3,0.0
70710,73,"Grass (Arbai, #1)",liked it,3,0,3,1.0
24925,73,Of Mice and Men,really liked it,4,1,3,0.0
69318,73,Cat's Cradle,really liked it,4,1,3,0.0
70490,73,Dispatches,liked it,3,0,3,0.0
9568,73,"Speaker for the Dead (Ender's Saga, #2)",liked it,3,0,3,0.0
30330,73,The Wind-Up Bird Chronicle,really liked it,4,1,3,0.0
70716,73,"Prince of the Blood (Krondor's Sons, #1)",really liked it,4,1,3,1.0
69854,73,Tales of the Cthulhu Mythos,liked it,3,0,3,1.0
39465,73,Freedom,it was amazing,5,1,3,0.0
18488,73,Out of Africa,liked it,3,0,3,1.0
69887,73,"The Wild Shore (Three Californias Triptych, #1)",liked it,3,0,3,1.0
24402,73,Cloud Atlas,really liked it,4,1,3,0.0
71111,73,Mother Night,liked it,3,0,3,0.0
71289,73,The Shadow of the Wind,liked it,3,0,3,1.0
70720,73,Rubicon: The Last Years of the Roman Republic,really liked it,4,1,3,0.0
52209,73,Infinite Jest,really liked it,4,1,3,0.0
69933,73,"Jingo (Discworld, #21)",really liked it,4,1,3,1.0
71414,73,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",really liked it,4,1,3,1.0
72008,73,Pimp: The Story of My Life,really liked it,4,1,3,1.0
69590,73,The Brave Cowboy,really liked it,4,1,3,1.0
66604,73,Desert Solitaire,really liked it,4,1,3,1.0
71453,73,"The Waste Lands (The Dark Tower, #3)",it was amazing,5,1,3,1.0
72039,73,The Discomfort Zone: A Personal History,really liked it,4,1,3,0.0
70450,73,Sounder,really liked it,4,1,0,0.0
